날짜,디지털/가전
2020-03-01,84
2020-03-02,75
2020-03-03,78
2020-03-04,79
2020-03-05,78
2020-03-06,73
2020-03-07,82
2020-03-08,83
2020-03-09,83
2020-03-10,81
2020-03-11,81
2020-03-12,75
2020-03-13,68
2020-03-14,76
2020-03-15,84
2020-03-16,81
2020-03-17,78
2020-03-18,75
2020-03-19,75
2020-03-20,68
2020-03-21,75
2020-03-22,82
2020-03-23,81
2020-03-24,78
2020-03-25,77
2020-03-26,77
2020-03-27,73
2020-03-28,76
2020-03-29,81
2020-03-30,82
2020-03-31,87
2020-04-01,91
2020-04-02,88
2020-04-03,78
2020-04-04,83
2020-04-05,87
2020-04-06,87
2020-04-07,83
2020-04-08,83
2020-04-09,81
2020-04-10,75
2020-04-11,82
2020-04-12,89
2020-04-13,84
2020-04-14,78
2020-04-15,83
2020-04-16,79
2020-04-17,76
2020-04-18,79
2020-04-19,90
2020-04-20,84
2020-04-21,81
2020-04-22,83
2020-04-23,79
2020-04-24,72
2020-04-25,79
2020-04-26,86
2020-04-27,80
2020-04-28,75
2020-04-29,70
2020-04-30,74
2020-05-01,76
2020-05-02,77
2020-05-03,90
2020-05-04,88
2020-05-05,100
2020-05-06,89
2020-05-07,79
2020-05-08,69
2020-05-09,77
2020-05-10,83
2020-05-11,80
2020-05-12,80
2020-05-13,76
2020-05-14,75
2020-05-15,71
2020-05-16,78
2020-05-17,87
2020-05-18,88
2020-05-19,88
2020-05-20,77
2020-05-21,74
2020-05-22,68
2020-05-23,74
2020-05-24,84
2020-05-25,79
2020-05-26,76
2020-05-27,74
2020-05-28,70
2020-05-29,63
2020-05-30,73
2020-05-31,83
2020-06-01,79
2020-06-02,76
2020-06-03,77
2020-06-04,81
2020-06-05,75
2020-06-06,86
2020-06-07,91
2020-06-08,93
2020-06-09,95
2020-06-10,98
2020-06-11,99
2020-06-12,86
2020-06-13,96
2020-06-14,100
2020-06-15,86
2020-06-16,81
2020-06-17,75
2020-06-18,72
2020-06-19,65
2020-06-20,72
2020-06-21,82
2020-06-22,83
2020-06-23,78
2020-06-24,75
2020-06-25,72
2020-06-26,64
2020-06-27,70
2020-06-28,78
2020-06-29,73
2020-06-30,68
