날짜,패션잡화
2019-06-30,79
2019-07-01,76
2019-07-02,74
2019-07-03,71
2019-07-04,68
2019-07-05,62
2019-07-06,64
2019-07-07,79
2019-07-08,77
2019-07-09,72
2019-07-10,73
2019-07-11,67
2019-07-12,61
2019-07-13,69
2019-07-14,84
2019-07-15,81
2019-07-16,76
2019-07-17,74
2019-07-18,72
2019-07-19,65
2019-07-20,70
2019-07-21,83
2019-07-22,80
2019-07-23,77
2019-07-24,74
2019-07-25,70
2019-07-26,65
2019-07-27,67
2019-07-28,81
2019-07-29,76
2019-07-30,73
2019-07-31,73
2019-08-01,72
2019-08-02,66
2019-08-03,66
2019-08-04,79
2019-08-05,75
2019-08-06,75
2019-08-07,72
2019-08-08,69
2019-08-09,64
2019-08-10,65
2019-08-11,79
2019-08-12,75
2019-08-13,73
2019-08-14,67
2019-08-15,73
2019-08-16,66
2019-08-17,67
2019-08-18,75
2019-08-19,73
2019-08-20,73
2019-08-21,72
2019-08-22,66
2019-08-23,62
2019-08-24,66
2019-08-25,79
2019-08-26,77
2019-08-27,76
2019-08-28,76
2019-08-29,73
2019-08-30,65
2019-08-31,69
2019-09-01,89
2019-09-02,84
2019-09-03,82
2019-09-04,78
2019-09-05,76
2019-09-06,69
2019-09-07,78
2019-09-08,89
2019-09-09,76
2019-09-10,67
2019-09-11,61
2019-09-12,64
2019-09-13,67
2019-09-14,79
2019-09-15,98
2019-09-16,94
2019-09-17,88
2019-09-18,83
2019-09-19,76
2019-09-20,67
2019-09-21,74
2019-09-22,92
2019-09-23,84
2019-09-24,78
2019-09-25,77
2019-09-26,72
2019-09-27,65
2019-09-28,69
2019-09-29,84
2019-09-30,80
2019-10-01,79
2019-10-02,75
2019-10-03,82
2019-10-04,73
2019-10-05,76
2019-10-06,90
2019-10-07,84
2019-10-08,72
2019-10-09,83
2019-10-10,77
2019-10-11,67
2019-10-12,71
2019-10-13,84
2019-10-14,77
2019-10-15,72
2019-10-16,73
2019-10-17,69
2019-10-18,63
2019-10-19,65
2019-10-20,79
2019-10-21,77
2019-10-22,75
2019-10-23,71
2019-10-24,67
2019-10-25,59
2019-10-26,64
2019-10-27,78
2019-10-28,77
2019-10-29,74
2019-10-30,70
2019-10-31,64
2019-11-01,63
2019-11-02,70
2019-11-03,84
2019-11-04,77
2019-11-05,76
2019-11-06,74
2019-11-07,71
2019-11-08,66
2019-11-09,69
