날짜,디지털/가전
2020-03-01,100
2020-03-02,96
2020-03-03,96
2020-03-04,97
2020-03-05,95
2020-03-06,86
2020-03-07,90
2020-03-08,96
2020-03-09,98
2020-03-10,98
2020-03-11,96
2020-03-12,92
2020-03-13,82
2020-03-14,84
2020-03-15,97
2020-03-16,98
2020-03-17,93
2020-03-18,91
2020-03-19,89
2020-03-20,82
2020-03-21,83
2020-03-22,93
2020-03-23,100
2020-03-24,96
2020-03-25,94
2020-03-26,93
2020-03-27,85
2020-03-28,84
2020-03-29,92
2020-03-30,96
2020-03-31,94
2020-04-01,99
2020-04-02,96
2020-04-03,83
2020-04-04,84
2020-04-05,92
2020-04-06,97
2020-04-07,91
2020-04-08,89
2020-04-09,85
2020-04-10,79
2020-04-11,81
2020-04-12,91
2020-04-13,90
2020-04-14,82
2020-04-15,83
2020-04-16,86
2020-04-17,80
2020-04-18,78
2020-04-19,92
2020-04-20,90
2020-04-21,88
2020-04-22,88
2020-04-23,83
2020-04-24,76
2020-04-25,78
2020-04-26,86
2020-04-27,87
2020-04-28,80
2020-04-29,73
2020-04-30,73
2020-05-01,78
2020-05-02,80
2020-05-03,92
2020-05-04,92
2020-05-05,94
2020-05-06,94
2020-05-07,83
2020-05-08,72
2020-05-09,75
2020-05-10,82
2020-05-11,85
2020-05-12,83
2020-05-13,80
2020-05-14,76
2020-05-15,71
2020-05-16,72
2020-05-17,84
2020-05-18,90
2020-05-19,90
2020-05-20,80
2020-05-21,76
2020-05-22,69
2020-05-23,69
2020-05-24,81
2020-05-25,82
2020-05-26,80
2020-05-27,76
2020-05-28,71
2020-05-29,64
2020-05-30,66
2020-05-31,80
2020-06-01,84
2020-06-02,81
2020-06-03,81
2020-06-04,81
2020-06-05,73
2020-06-06,77
2020-06-07,86
2020-06-08,93
2020-06-09,93
2020-06-10,95
2020-06-11,92
2020-06-12,79
2020-06-13,80
2020-06-14,89
2020-06-15,84
2020-06-16,79
2020-06-17,75
2020-06-18,71
2020-06-19,64
2020-06-20,64
2020-06-21,76
2020-06-22,81
2020-06-23,77
2020-06-24,73
2020-06-25,70
2020-06-26,65
2020-06-27,64
2020-06-28,74
2020-06-29,76
2020-06-30,72
