날짜,화장품/미용
2019-06-30,71
2019-07-01,82
2019-07-02,77
2019-07-03,74
2019-07-04,70
2019-07-05,62
2019-07-06,60
2019-07-07,71
2019-07-08,76
2019-07-09,74
2019-07-10,72
2019-07-11,71
2019-07-12,61
2019-07-13,60
2019-07-14,71
2019-07-15,78
2019-07-16,74
2019-07-17,73
2019-07-18,69
2019-07-19,61
2019-07-20,59
2019-07-21,69
2019-07-22,75
2019-07-23,71
2019-07-24,69
2019-07-25,68
2019-07-26,60
2019-07-27,56
2019-07-28,66
2019-07-29,69
2019-07-30,68
2019-07-31,67
2019-08-01,73
2019-08-02,65
2019-08-03,58
2019-08-04,71
2019-08-05,76
2019-08-06,76
2019-08-07,78
2019-08-08,71
2019-08-09,65
2019-08-10,59
2019-08-11,70
2019-08-12,76
2019-08-13,74
2019-08-14,66
2019-08-15,69
2019-08-16,64
2019-08-17,59
2019-08-18,68
2019-08-19,75
2019-08-20,74
2019-08-21,73
2019-08-22,69
2019-08-23,62
2019-08-24,58
2019-08-25,71
2019-08-26,78
2019-08-27,75
2019-08-28,73
2019-08-29,70
2019-08-30,69
2019-08-31,62
2019-09-01,79
2019-09-02,84
2019-09-03,80
2019-09-04,74
2019-09-05,76
2019-09-06,61
2019-09-07,61
2019-09-08,67
2019-09-09,66
2019-09-10,55
2019-09-11,48
2019-09-12,48
2019-09-13,50
2019-09-14,60
2019-09-15,78
2019-09-16,87
2019-09-17,80
2019-09-18,79
2019-09-19,73
2019-09-20,62
2019-09-21,60
2019-09-22,73
2019-09-23,75
2019-09-24,71
2019-09-25,72
2019-09-26,66
2019-09-27,59
2019-09-28,56
2019-09-29,67
2019-09-30,74
2019-10-01,78
2019-10-02,67
2019-10-03,67
2019-10-04,63
2019-10-05,60
2019-10-06,71
2019-10-07,74
2019-10-08,65
2019-10-09,71
2019-10-10,73
2019-10-11,65
2019-10-12,62
2019-10-13,72
2019-10-14,76
2019-10-15,74
2019-10-16,73
2019-10-17,69
2019-10-18,62
2019-10-19,59
2019-10-20,71
2019-10-21,78
2019-10-22,75
2019-10-23,72
2019-10-24,66
2019-10-25,60
2019-10-26,56
2019-10-27,70
2019-10-28,76
2019-10-29,73
2019-10-30,70
2019-10-31,66
2019-11-01,72
2019-11-02,68
2019-11-03,79
2019-11-04,83
2019-11-05,81
2019-11-06,79
2019-11-07,73
2019-11-08,65
2019-11-09,63
2019-11-10,77
2019-11-11,85
2019-11-12,78
2019-11-13,73
2019-11-14,69
2019-11-15,62
2019-11-16,60
2019-11-17,75
2019-11-18,77
2019-11-19,75
2019-11-20,73
2019-11-21,69
2019-11-22,62
2019-11-23,58
2019-11-24,71
2019-11-25,79
2019-11-26,77
2019-11-27,76
2019-11-28,68
2019-11-29,61
2019-11-30,60
2019-12-01,83
2019-12-02,89
2019-12-03,84
2019-12-04,80
2019-12-05,79
2019-12-06,68
2019-12-07,66
2019-12-08,87
2019-12-09,83
2019-12-10,80
2019-12-11,81
2019-12-12,75
2019-12-13,66
2019-12-14,64
2019-12-15,77
2019-12-16,80
2019-12-17,77
2019-12-18,74
2019-12-19,69
2019-12-20,62
2019-12-21,60
2019-12-22,72
2019-12-23,70
2019-12-24,57
2019-12-25,64
2019-12-26,71
2019-12-27,64
2019-12-28,64
2019-12-29,75
2019-12-30,70
2019-12-31,60
2020-01-01,74
2020-01-02,80
2020-01-03,72
2020-01-04,72
2020-01-05,82
2020-01-06,84
2020-01-07,80
2020-01-08,79
2020-01-09,75
2020-01-10,67
2020-01-11,69
2020-01-12,80
2020-01-13,84
2020-01-14,81
2020-01-15,81
2020-01-16,79
2020-01-17,71
2020-01-18,68
2020-01-19,80
2020-01-20,79
2020-01-21,73
2020-01-22,65
2020-01-23,56
2020-01-24,56
2020-01-25,59
2020-01-26,73
2020-01-27,92
2020-01-28,100
2020-01-29,99
2020-01-30,89
2020-01-31,78
2020-02-01,86
2020-02-02,95
2020-02-03,92
2020-02-04,97
2020-02-05,92
2020-02-06,86
2020-02-07,77
2020-02-08,79
2020-02-09,90
2020-02-10,94
2020-02-11,94
2020-02-12,90
2020-02-13,82
2020-02-14,71
2020-02-15,70
2020-02-16,82
2020-02-17,87
2020-02-18,83
2020-02-19,83
2020-02-20,77
2020-02-21,68
2020-02-22,73
2020-02-23,84
2020-02-24,84
2020-02-25,88
2020-02-26,86
2020-02-27,82
2020-02-28,75
2020-02-29,80
2020-03-01,99
2020-03-02,93
2020-03-03,91
2020-03-04,91
2020-03-05,88
2020-03-06,83
2020-03-07,81
2020-03-08,89
2020-03-09,91
2020-03-10,92
2020-03-11,89
2020-03-12,81
2020-03-13,73
2020-03-14,72
2020-03-15,83
2020-03-16,82
2020-03-17,80
2020-03-18,77
2020-03-19,73
2020-03-20,65
2020-03-21,64
2020-03-22,73
2020-03-23,77
2020-03-24,72
2020-03-25,77
2020-03-26,73
2020-03-27,64
2020-03-28,64
2020-03-29,72
2020-03-30,75
2020-03-31,77
2020-04-01,81
2020-04-02,73
2020-04-03,66
2020-04-04,64
2020-04-05,76
2020-04-06,81
2020-04-07,77
2020-04-08,76
2020-04-09,72
2020-04-10,65
2020-04-11,68
2020-04-12,78
2020-04-13,77
2020-04-14,71
2020-04-15,75
2020-04-16,74
2020-04-17,68
2020-04-18,66
2020-04-19,80
2020-04-20,82
2020-04-21,78
2020-04-22,77
2020-04-23,75
2020-04-24,65
2020-04-25,66
2020-04-26,78
2020-04-27,78
2020-04-28,72
2020-04-29,63
2020-04-30,62
2020-05-01,68
2020-05-02,64
2020-05-03,73
2020-05-04,70
2020-05-05,80
2020-05-06,80
2020-05-07,71
2020-05-08,62
2020-05-09,63
2020-05-10,73
2020-05-11,80
2020-05-12,77
2020-05-13,74
2020-05-14,69
2020-05-15,64
2020-05-16,60
2020-05-17,71
2020-05-18,78
2020-05-19,73
2020-05-20,69
2020-05-21,66
2020-05-22,59
2020-05-23,58
2020-05-24,70
2020-05-25,75
2020-05-26,71
2020-05-27,68
2020-05-28,63
2020-05-29,62
2020-05-30,60
2020-05-31,72
2020-06-01,81
2020-06-02,75
2020-06-03,72
2020-06-04,72
2020-06-05,59
2020-06-06,59
2020-06-07,69
2020-06-08,71
2020-06-09,69
2020-06-10,71
2020-06-11,66
2020-06-12,59
2020-06-13,58
2020-06-14,69
2020-06-15,71
2020-06-16,68
2020-06-17,66
2020-06-18,63
2020-06-19,58
2020-06-20,55
2020-06-21,66
2020-06-22,70
2020-06-23,67
2020-06-24,67
2020-06-25,65
2020-06-26,57
